TP,TN,FP,FN,total,accuracy,precision,recall,f1,threshold
35,336,94,140,605,0.6132231404958678,0.2713178294573643,0.2,0.23026315789473684,0.9985902520684188
35,338,92,140,605,0.6165289256198347,0.2755905511811024,0.2,0.2317880794701987,1.0022672905409895
35,343,87,140,605,0.6247933884297521,0.28688524590163933,0.2,0.2356902356902357,1.0116434495017026
35,344,86,140,605,0.6264462809917355,0.2892561983471074,0.2,0.23648648648648649,1.0210906791331984
35,347,83,140,605,0.631404958677686,0.2966101694915254,0.2,0.23890784982935154,1.0346185110143364
35,350,80,140,605,0.6363636363636364,0.30434782608695654,0.2,0.24137931034482762,1.0435911061979781
35,351,79,140,605,0.6380165289256199,0.30701754385964913,0.2,0.2422145328719723,1.0500510870178275
35,352,78,140,605,0.6396694214876033,0.30973451327433627,0.2,0.24305555555555555,1.0660915332627576
35,355,75,140,605,0.6446280991735537,0.3181818181818182,0.2,0.2456140350877193,1.0736150442673857
35,357,73,140,605,0.6479338842975206,0.32407407407407407,0.2,0.24734982332155472,1.0885919603275374
35,359,71,140,605,0.6512396694214876,0.330188679245283,0.2,0.2491103202846975,1.1088154453527193
35,359,71,140,605,0.6512396694214876,0.330188679245283,0.2,0.2491103202846975,1.111092387392317
35,359,71,140,605,0.6512396694214876,0.330188679245283,0.2,0.2491103202846975,1.1335928144570966
35,360,70,140,605,0.6528925619834711,0.3333333333333333,0.2,0.25,1.1560932415218763
35,361,69,140,605,0.6545454545454545,0.33653846153846156,0.2,0.25089605734767023,1.1785936685866558
35,361,69,140,605,0.6545454545454545,0.33653846153846156,0.2,0.25089605734767023,1.2010940956514355
35,361,69,140,605,0.6545454545454545,0.33653846153846156,0.2,0.25089605734767023,1.223594522716215
35,363,67,140,605,0.6578512396694215,0.3431372549019608,0.2,0.2527075812274368,1.234126114038813
35,364,66,140,605,0.6595041322314049,0.3465346534653465,0.2,0.25362318840579706,1.2460949497809948
35,364,66,140,605,0.6595041322314049,0.3465346534653465,0.2,0.25362318840579706,1.2685953768457743
35,364,66,140,605,0.6595041322314049,0.3465346534653465,0.2,0.25362318840579706,1.291095803910554
35,365,65,140,605,0.6611570247933884,0.35,0.2,0.2545454545454545,1.3135962309753335
35,366,64,140,605,0.6628099173553719,0.35353535353535354,0.2,0.2554744525547445,1.3360966580401132
35,367,63,140,605,0.6644628099173554,0.35714285714285715,0.2,0.25641025641025644,1.3539626607766884
35,367,63,140,605,0.6644628099173554,0.35714285714285715,0.2,0.25641025641025644,1.3585970851048927
35,368,62,140,605,0.6661157024793388,0.36082474226804123,0.2,0.2573529411764706,1.3810975121696725
35,369,61,140,605,0.6677685950413224,0.3645833333333333,0.2,0.25830258302583026,1.403597939234452
35,371,59,140,605,0.6710743801652893,0.3723404255319149,0.2,0.26022304832713755,1.4138148690966152
